post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,665000000,2020,45000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Huyện Gia Lâm,Hà Nội,5,0
2025,885000000,2022,72000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Hoàng Mai,Hà Nội,3,1
2025,385000000,2017,19000.0,Số sàn,Đã sử dụng,Dầu,Van,Trong nước,Quận Long Biên,Hà Nội,8,0
2025,216000000,2020,91000.0,Số sàn,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Hoàng Mai,Hà Nội,5,1
2025,545000000,2019,70000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Long Biên,Hà Nội,6,1
2025,378000000,2016,80000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Nam Từ Liêm,Hà Nội,9,0
2025,586000000,2007,12345.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Long Biên,Hà Nội,18,0
2025,485000000,2021,50000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Bắc Từ Liêm,Hà Nội,4,0
2025,568000000,2016,65000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Bắc Từ Liêm,Hà Nội,9,1
2025,110000000,2005,16000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hà Đông,Hà Nội,20,0
2025,3699000000,2022,41000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Bắc Từ Liêm,Hà Nội,3,0
2025,240000000,2014,98000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Huyện Đông Anh,Hà Nội,11,0
2025,615000000,2019,66000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Long Biên,Hà Nội,6,1
2025,275000000,2014,25000.0,Số sàn,Đã sử dụng,Dầu,Minivan (mpv),Trong nước,Quận Long Biên,Hà Nội,11,0
2025,615000000,2024,15000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Thị xã Sơn Tây,Hà Nội,1,0
